course,phase,phase_length,group,n_registered,pct_inactive,median_active_days,iqr_active_days
AAA-2014J,P1,20,Fail,46,4.3,6.0,4-8.75
AAA-2014J,P1,20,Pass,229,0.9,10.0,6-14
AAA-2014J,P1,20,Withdrawn,50,0.0,9.0,5-14
AAA-2014J,P2,35,Fail,46,8.7,5.5,2-10.75
AAA-2014J,P2,35,Pass,229,0.4,15.0,7-21
AAA-2014J,P2,35,Withdrawn,44,2.3,11.0,6-21
AAA-2014J,P3,63,Fail,46,15.2,6.0,3-12
AAA-2014J,P3,63,Pass,229,0.4,18.0,9-29
AAA-2014J,P3,63,Withdrawn,33,15.2,9.0,4-19
AAA-2014J,P4,49,Fail,46,28.3,4.0,0-8
AAA-2014J,P4,49,Pass,229,0.4,16.0,8-25
AAA-2014J,P4,49,Withdrawn,22,4.5,7.5,4-15.75
AAA-2014J,P5,49,Fail,46,32.6,3.0,0-8
AAA-2014J,P5,49,Pass,229,0.9,15.0,8-24
AAA-2014J,P5,49,Withdrawn,11,0.0,5.0,3-7
BBB-2013J,P1,20,Fail,474,11.6,3.0,1-7
BBB-2013J,P1,20,Pass,895,4.8,6.0,3-10
BBB-2013J,P1,20,Withdrawn,231,7.8,5.0,2-7
BBB-2013J,P2,28,Fail,474,16.0,4.0,1-7
BBB-2013J,P2,28,Pass,896,2.6,8.0,4-13
BBB-2013J,P2,28,Withdrawn,193,11.4,5.0,2-10
BBB-2013J,P3,49,Fail,474,28.7,3.0,0-7
BBB-2013J,P3,49,Pass,896,1.2,9.0,5-16
BBB-2013J,P3,49,Withdrawn,138,18.8,5.0,1-9
BBB-2013J,P4,35,Fail,474,45.8,1.0,0-4
BBB-2013J,P4,35,Pass,896,2.2,7.0,4-14
BBB-2013J,P4,35,Withdrawn,86,24.4,2.0,1-6
BBB-2013J,P5,35,Fail,474,55.1,0.0,0-3
BBB-2013J,P5,35,Pass,896,2.7,7.0,4-12
BBB-2013J,P5,35,Withdrawn,49,44.9,1.0,0-3
BBB-2013J,P6,42,Fail,473,63.6,0.0,0-2
BBB-2013J,P6,42,Pass,896,2.0,7.0,4-13
BBB-2013J,P6,42,Withdrawn,23,43.5,1.0,0-2
