id_student,final_result,active_days,days_to_first_activity,last7_share,phase,phase_start,phase_end,phase_length
27759,Fail,10,0.0,0.017857142857142856,P1,0,19,20
30091,Pass,5,3.0,0.043795620437956206,P1,0,19,20
31014,Withdrawn,12,1.0,0.6331877729257642,P1,0,19,20
31849,Pass,8,0.0,0.4939759036144578,P1,0,19,20
37622,Pass,3,16.0,1.0,P1,0,19,20
38234,Fail,3,9.0,0.037037037037037035,P1,0,19,20
48040,Pass,16,0.0,0.24299065420560748,P1,0,19,20
48503,Pass,4,2.0,0.1643835616438356,P1,0,19,20
51301,Withdrawn,19,0.0,0.436241610738255,P1,0,19,20
52797,Pass,7,2.0,0.4879518072289157,P1,0,19,20
52899,Pass,11,1.0,0.20462046204620463,P1,0,19,20
55026,Pass,8,1.0,0.45918367346938777,P1,0,19,20
56340,Fail,0,,,P1,0,19,20
56789,Pass,3,2.0,0.3333333333333333,P1,0,19,20
57079,Fail,10,0.0,0.3979591836734694,P1,0,19,20
63044,Fail,4,0.0,0.40298507462686567,P1,0,19,20
68556,Fail,5,2.0,0.5454545454545454,P1,0,19,20
73489,Pass,13,0.0,0.19373219373219372,P1,0,19,20
78255,Withdrawn,10,0.0,0.4077669902912621,P1,0,19,20
84812,Pass,9,2.0,0.2967032967032967,P1,0,19,20
86291,Fail,0,,,P1,0,19,20
90243,Pass,13,2.0,0.30995475113122173,P1,0,19,20
96475,Pass,4,2.0,0.15492957746478872,P1,0,19,20
97567,Pass,3,0.0,0.0,P1,0,19,20
98268,Pass,3,10.0,0.47297297297297297,P1,0,19,20
98720,Pass,1,7.0,0.0,P1,0,19,20
100282,Withdrawn,2,9.0,0.64,P1,0,19,20
105527,Pass,6,1.0,0.5089285714285714,P1,0,19,20
105851,Pass,3,14.0,1.0,P1,0,19,20
105883,Pass,10,0.0,0.4188679245283019,P1,0,19,20
108118,Pass,5,3.0,0.43243243243243246,P1,0,19,20
108760,Fail,6,10.0,0.1032258064516129,P1,0,19,20
109372,Pass,10,0.0,0.17857142857142858,P1,0,19,20
109782,Withdrawn,5,2.0,0.40476190476190477,P1,0,19,20
111942,Pass,8,1.0,0.27413127413127414,P1,0,19,20
119898,Pass,3,5.0,0.8518518518518519,P1,0,19,20
123716,Pass,13,0.0,0.512,P1,0,19,20
124909,Pass,14,0.0,0.10071942446043165,P1,0,19,20
128386,Fail,2,4.0,0.0,P1,0,19,20
128889,Pass,13,2.0,0.4769452449567723,P1,0,19,20
131051,Pass,8,1.0,0.2978723404255319,P1,0,19,20
132626,Withdrawn,13,0.0,0.7120418848167539,P1,0,19,20
134563,Pass,17,0.0,0.4915526950925181,P1,0,19,20
138289,Fail,7,3.0,0.3082706766917293,P1,0,19,20
138920,Fail,7,1.0,0.6160714285714286,P1,0,19,20
139549,Pass,4,7.0,0.39285714285714285,P1,0,19,20
141949,Pass,12,1.0,0.15151515151515152,P1,0,19,20
146165,Pass,1,10.0,0.0,P1,0,19,20
146600,Pass,5,1.0,0.08860759493670886,P1,0,19,20
151800,Fail,1,17.0,1.0,P1,0,19,20
151917,Fail,3,2.0,0.6857142857142857,P1,0,19,20
153704,Fail,5,1.0,0.14285714285714285,P1,0,19,20
154011,Pass,3,3.0,0.043478260869565216,P1,0,19,20
154570,Withdrawn,20,0.0,0.30976430976430974,P1,0,19,20
156311,Pass,5,6.0,0.7792207792207793,P1,0,19,20
157060,Pass,2,11.0,0.15151515151515152,P1,0,19,20
157795,Pass,10,3.0,0.2509090909090909,P1,0,19,20
169213,Pass,4,12.0,0.9512195121951219,P1,0,19,20
174222,Pass,3,6.0,0.6756756756756757,P1,0,19,20
174440,Fail,6,1.0,0.5915492957746479,P1,0,19,20
174487,Pass,9,0.0,0.36046511627906974,P1,0,19,20
178738,Fail,5,1.0,0.015625,P1,0,19,20
178963,Pass,2,4.0,0.0,P1,0,19,20
179254,Fail,2,2.0,0.0,P1,0,19,20
182661,Pass,0,,,P1,0,19,20
188026,Fail,5,0.0,0.0784313725490196,P1,0,19,20
189095,Fail,9,0.0,0.5794392523364486,P1,0,19,20
191269,Pass,8,3.0,0.5233644859813084,P1,0,19,20
193215,Fail,6,2.0,0.5483870967741935,P1,0,19,20
195096,Pass,0,,,P1,0,19,20
197240,Pass,10,0.0,0.0625,P1,0,19,20
197412,Pass,5,10.0,0.5319148936170213,P1,0,19,20
197759,Pass,12,0.0,0.2982456140350877,P1,0,19,20
198339,Withdrawn,4,0.0,0.14583333333333334,P1,0,19,20
199663,Pass,1,1.0,0.0,P1,0,19,20
202879,Fail,7,3.0,0.3625,P1,0,19,20
203640,Pass,1,18.0,1.0,P1,0,19,20
