course,group,n,mean_clicks,median_clicks
AAA-2013J,Distinction,20.0,4121.0,3148.5
AAA-2013J,Pass,258.0,1847.1,1439.0
AAA-2013J,Withdrawn,55.0,1077.1,643.0
AAA-2013J,Fail,45.0,672.8,363.0
AAA-2013J,KRUSKAL_WALLIS,,,1.2180611564298627e-17
AAA-2014J,Distinction,24.0,3634.0,2469.5
AAA-2014J,Pass,229.0,1882.1,1427.0
AAA-2014J,Withdrawn,58.0,924.8,541.5
AAA-2014J,Fail,46.0,571.8,427.0
AAA-2014J,KRUSKAL_WALLIS,,,2.0929768700561684e-16
BBB-2013B,Distinction,155.0,1710.1,1031.0
BBB-2013B,Pass,648.0,1184.9,723.5
BBB-2013B,Withdrawn,320.0,391.8,156.0
BBB-2013B,Fail,414.0,458.2,242.5
BBB-2013B,KRUSKAL_WALLIS,,,4.95513485640823e-109
BBB-2013J,Distinction,176.0,1313.8,833.0
BBB-2013J,Pass,896.0,1019.8,584.5
BBB-2013J,Withdrawn,326.0,255.7,102.0
BBB-2013J,Fail,472.0,318.5,166.0
BBB-2013J,KRUSKAL_WALLIS,,,6.000567264752222e-145
BBB-2014B,Distinction,166.0,1269.4,798.5
BBB-2014B,Pass,561.0,844.9,505.0
BBB-2014B,Withdrawn,206.0,229.5,99.5
BBB-2014B,Fail,361.0,282.1,163.0
BBB-2014B,KRUSKAL_WALLIS,,,8.162754983432645e-99
BBB-2014J,Distinction,180.0,1630.7,1411.5
BBB-2014J,Pass,970.0,1175.7,979.5
BBB-2014J,Withdrawn,403.0,233.6,121.0
BBB-2014J,Fail,368.0,395.9,232.0
BBB-2014J,KRUSKAL_WALLIS,,,5.302970525378263e-181
CCC-2014B,Distinction,192.0,2593.2,2128.5
CCC-2014B,Pass,471.0,1896.3,1371.0
CCC-2014B,Withdrawn,663.0,410.5,221.0
CCC-2014B,Fail,355.0,636.6,367.0
CCC-2014B,KRUSKAL_WALLIS,,,2.754512999828908e-181
CCC-2014J,Distinction,306.0,2561.6,1932.5
CCC-2014J,Pass,708.0,1892.9,1283.0
CCC-2014J,Withdrawn,890.0,369.6,219.0
CCC-2014J,Fail,398.0,854.2,524.5
CCC-2014J,KRUSKAL_WALLIS,,,5.678299137085218e-243
DDD-2013B,Distinction,54.0,2247.5,1623.5
DDD-2013B,Pass,456.0,1780.9,1433.0
DDD-2013B,Withdrawn,357.0,479.2,307.0
DDD-2013B,Fail,347.0,815.5,476.0
DDD-2013B,KRUSKAL_WALLIS,,,3.902574365704257e-105
DDD-2013J,Distinction,98.0,2349.5,1854.0
DDD-2013J,Pass,731.0,1497.7,1222.0
DDD-2013J,Withdrawn,525.0,353.1,210.0
DDD-2013J,Fail,414.0,596.1,407.5
DDD-2013J,KRUSKAL_WALLIS,,,3.973805998215121e-180
DDD-2014B,Distinction,119.0,1772.4,1445.0
DDD-2014B,Pass,360.0,1291.7,1071.0
DDD-2014B,Withdrawn,388.0,383.5,240.5
DDD-2014B,Fail,249.0,493.7,321.0
DDD-2014B,KRUSKAL_WALLIS,,,1.1167345601655748e-106
DDD-2014J,Distinction,112.0,1757.6,1230.0
DDD-2014J,Pass,680.0,1359.1,921.5
DDD-2014J,Withdrawn,497.0,293.5,148.0
DDD-2014J,Fail,358.0,477.2,360.5
DDD-2014J,KRUSKAL_WALLIS,,,3.834740255875201e-154
EEE-2013J,Distinction,127.0,2988.4,2361.0
EEE-2013J,Pass,482.0,1983.2,1657.5
EEE-2013J,Withdrawn,168.0,454.9,271.5
EEE-2013J,Fail,187.0,663.7,503.0
EEE-2013J,KRUSKAL_WALLIS,,,3.802646574441628e-106
EEE-2014B,Distinction,72.0,2670.7,2237.0
EEE-2014B,Pass,285.0,1778.6,1498.0
EEE-2014B,Withdrawn,112.0,380.8,278.0
EEE-2014B,Fail,155.0,581.9,431.0
EEE-2014B,KRUSKAL_WALLIS,,,1.2620357059231477e-75
EEE-2014J,Distinction,157.0,2860.9,2461.0
EEE-2014J,Pass,527.0,1843.8,1587.0
EEE-2014J,Withdrawn,228.0,318.7,185.0
EEE-2014J,Fail,185.0,663.3,437.0
EEE-2014J,KRUSKAL_WALLIS,,,2.762693275283661e-135
FFF-2013B,Distinction,118.0,5563.7,5058.5
FFF-2013B,Pass,664.0,3976.5,3506.5
FFF-2013B,Withdrawn,316.0,851.8,590.5
FFF-2013B,Fail,412.0,1587.2,1148.5
FFF-2013B,KRUSKAL_WALLIS,,,1.807843997572629e-175
FFF-2013J,Distinction,187.0,5131.2,4789.0
FFF-2013J,Pass,908.0,3541.2,3132.0
FFF-2013J,Withdrawn,497.0,774.2,481.0
FFF-2013J,Fail,506.0,1100.3,605.0
FFF-2013J,KRUSKAL_WALLIS,,,2.4200910646878793e-257
FFF-2014B,Distinction,107.0,4746.2,4305.0
FFF-2014B,Pass,547.0,3340.4,2945.0
FFF-2014B,Withdrawn,337.0,746.4,472.0
FFF-2014B,Fail,372.0,1045.8,654.5
FFF-2014B,KRUSKAL_WALLIS,,,4.214039908946904e-165
FFF-2014J,Distinction,258.0,5267.6,4654.5
FFF-2014J,Pass,859.0,3619.1,3119.0
FFF-2014J,Withdrawn,618.0,562.3,308.5
FFF-2014J,Fail,386.0,1208.5,712.0
FFF-2014J,KRUSKAL_WALLIS,,,7.2662615589444e-293
GGG-2013J,Distinction,141.0,945.3,777.0
GGG-2013J,Pass,451.0,672.1,572.0
GGG-2013J,Withdrawn,45.0,185.0,105.0
GGG-2013J,Fail,258.0,249.5,135.5
GGG-2013J,KRUSKAL_WALLIS,,,1.1954122180467043e-79
GGG-2014B,Distinction,128.0,823.1,652.0
GGG-2014B,Pass,350.0,745.9,583.0
GGG-2014B,Withdrawn,66.0,148.2,88.5
GGG-2014B,Fail,229.0,213.8,127.0
GGG-2014B,KRUSKAL_WALLIS,,,8.872339110141237e-78
GGG-2014J,Distinction,127.0,869.4,705.0
GGG-2014J,Pass,317.0,732.0,630.0
GGG-2014J,Withdrawn,93.0,112.3,82.0
GGG-2014J,Fail,161.0,290.2,171.0
GGG-2014J,KRUSKAL_WALLIS,,,4.685760259431752e-69
