course,n_fail,n_pass,avg_clicks_fail,avg_clicks_pass,ratio,p_value,cliffs_delta
AAA-2013J,45,258,672.8,1847.1,2.75,1.5596348735885007e-11,0.63
AAA-2014J,46,229,571.8,1882.1,3.29,1.46792671355651e-11,0.631
BBB-2013B,414,648,458.2,1184.9,2.59,5.6065471446699304e-62,0.604
BBB-2013J,472,896,318.5,1019.8,3.2,1.0966223235931786e-78,0.617
BBB-2014B,361,561,282.1,844.9,2.99,3.0508003292809426e-51,0.587
BBB-2014J,368,970,395.9,1175.7,2.97,1.7267813667005622e-74,0.646
CCC-2014B,355,471,636.6,1896.3,2.98,1.0420161562299167e-64,0.69
CCC-2014J,398,708,854.2,1892.9,2.22,4.875560059874083e-46,0.515
DDD-2013B,347,456,815.5,1780.9,2.18,3.513442993417663e-51,0.619
DDD-2013J,414,731,596.1,1497.7,2.51,2.0496454672226677e-74,0.648
DDD-2014B,249,360,493.7,1291.7,2.62,1.9074059046879332e-48,0.697
DDD-2014J,358,680,477.2,1359.1,2.85,8.234071740782927e-61,0.621
EEE-2013J,187,482,663.7,1983.2,2.99,4.247061001279992e-52,0.756
EEE-2014B,155,285,581.9,1778.6,3.06,6.504920338299636e-42,0.783
EEE-2014J,185,527,663.3,1843.8,2.78,6.661709027117265e-49,0.726
FFF-2013B,412,664,1587.2,3976.5,2.51,3.525664452222217e-88,0.721
FFF-2013J,506,908,1100.3,3541.2,3.22,1.197598663116724e-134,0.791
FFF-2014B,372,547,1045.8,3340.4,3.19,2.277015134235907e-92,0.791
FFF-2014J,386,859,1208.5,3619.1,2.99,2.598004969190663e-103,0.764
GGG-2013J,258,451,249.5,672.1,2.69,6.226615559538465e-59,0.73
GGG-2014B,229,350,213.8,745.9,3.49,6.75667104983282e-56,0.774
GGG-2014J,161,317,290.2,732.0,2.52,8.015487803452209e-35,0.689
