variable,category,Distinction,Fail,Pass,Withdrawn
gender,F,9.5,21.1,39.0,30.5
gender,M,9.1,22.1,37.1,31.7
age_band,0-35,8.1,22.8,36.9,32.2
age_band,35-55,11.9,19.0,40.3,28.8
age_band,55<=,19.0,13.4,42.6,25.0
disability,N,9.5,21.5,38.7,30.3
disability,Y,7.0,22.5,31.1,39.3
imd_band,0-10%,5.1,27.7,30.1,37.2
imd_band,10-20,5.4,25.9,33.2,35.4
imd_band,20-30%,7.2,23.1,33.6,36.2
imd_band,30-40%,8.9,22.2,38.0,30.9
imd_band,40-50%,9.0,21.4,37.6,32.0
imd_band,50-60%,9.5,22.4,39.3,28.8
imd_band,60-70%,10.3,18.5,41.6,29.6
imd_band,70-80%,10.9,20.8,40.6,27.7
imd_band,80-90%,11.9,17.9,42.2,28.0
imd_band,90-100%,14.1,16.6,43.4,25.9
imd_band,?,17.9,13.1,47.8,21.2
highest_education,A Level or Equivalent,10.7,19.3,41.4,28.7
highest_education,HE Qualification,14.7,16.7,41.4,27.1
highest_education,Lower Than A Level,5.5,26.0,33.3,35.1
highest_education,No Formal quals,4.6,27.4,25.1,42.9
highest_education,Post Graduate Qualification,28.1,10.9,37.4,23.6
region,East Anglian Region,9.8,20.9,39.2,30.1
region,East Midlands Region,8.5,19.5,37.3,34.8
region,Ireland,8.3,22.0,46.6,23.1
region,London Region,8.2,23.1,34.2,34.5
region,North Region,12.6,17.9,37.9,31.5
region,North Western Region,7.3,24.2,32.9,35.6
region,Scotland,9.5,24.7,39.4,26.3
region,South East Region,11.6,17.8,39.9,30.7
region,South Region,10.8,17.6,41.6,30.0
region,South West Region,10.8,19.1,39.0,31.1
region,Wales,8.5,29.7,36.7,25.1
region,West Midlands Region,7.0,21.3,36.3,35.4
region,Yorkshire Region,8.2,22.4,36.6,32.8
