course,avg_forum_clicks_fail,avg_forum_clicks_pass,p_value
AAA-2013J,128.2,482.2,1.089122824185949e-06
AAA-2014J,131.8,504.6,0.00026590775745934233
BBB-2013B,260.2,711.0,8.121772590193881e-43
BBB-2013J,155.1,540.5,7.641986980127237e-38
BBB-2014B,130.6,414.4,2.1588560919064077e-20
BBB-2014J,61.2,150.9,1.7742770368543373e-16
CCC-2014B,67.1,260.1,3.578790426654873e-27
CCC-2014J,99.4,243.9,9.742014060279828e-19
DDD-2013B,187.6,414.4,1.0075831810448724e-31
DDD-2013J,154.0,395.4,1.4588526430356575e-48
DDD-2014B,112.2,308.8,1.2244274247571778e-30
DDD-2014J,134.8,508.6,1.0216007567140228e-36
EEE-2013J,116.6,403.6,2.944342098334134e-19
EEE-2014B,82.6,251.7,1.4556134143429237e-14
EEE-2014J,134.6,367.7,7.067528030956737e-21
FFF-2013B,209.4,480.3,4.508822337419683e-42
FFF-2013J,170.1,463.3,1.5391993003715134e-63
FFF-2014B,142.1,356.2,1.4169413813161945e-36
FFF-2014J,165.0,426.7,5.503758466080918e-42
GGG-2013J,69.1,119.8,3.2729698541982617e-12
GGG-2014B,45.4,177.5,1.2557121595203727e-14
GGG-2014J,49.4,108.7,6.138200087852948e-08
