course,pair,n1,n2,mean1,mean2,p_value,cliffs_delta
AAA-2013J,Distinction vs Fail,20,45,4121.0,672.8,1.4179989265056017e-08,0.888
AAA-2013J,Withdrawn vs Fail,55,45,1077.1,672.8,0.03702453213755386,0.244
AAA-2013J,Distinction vs Withdrawn,20,55,4121.0,1077.1,1.8119923271661664e-07,0.793
AAA-2014J,Distinction vs Fail,24,46,3634.0,571.8,2.8679142895196502e-08,0.813
AAA-2014J,Withdrawn vs Fail,58,46,924.8,571.8,0.2440170694713475,0.134
AAA-2014J,Distinction vs Withdrawn,24,58,3634.0,924.8,1.9914176127426116e-06,0.671
BBB-2013B,Distinction vs Fail,155,414,1710.1,458.2,1.0406962101591203e-39,0.718
BBB-2013B,Withdrawn vs Fail,320,414,391.8,458.2,0.001883191669684143,-0.134
BBB-2013B,Distinction vs Withdrawn,155,320,1710.1,391.8,1.0966724363971547e-41,0.765
BBB-2013J,Distinction vs Fail,176,472,1313.8,318.5,4.313253244847388e-51,0.767
BBB-2013J,Withdrawn vs Fail,326,472,255.7,318.5,2.3186879001026074e-05,-0.176
BBB-2013J,Distinction vs Withdrawn,176,326,1313.8,255.7,9.315128120127108e-55,0.842
BBB-2014B,Distinction vs Fail,166,361,1269.4,282.1,3.557919974772348e-45,0.764
BBB-2014B,Withdrawn vs Fail,206,361,229.5,282.1,0.0006260789491311299,-0.173
BBB-2014B,Distinction vs Withdrawn,166,206,1269.4,229.5,8.597187200333048e-44,0.837
BBB-2014J,Distinction vs Fail,180,368,1630.7,395.9,3.828531916277036e-60,0.86
BBB-2014J,Withdrawn vs Fail,403,368,233.6,395.9,2.4766049760442695e-11,-0.278
BBB-2014J,Distinction vs Withdrawn,180,403,1630.7,233.6,1.3719541226198627e-72,0.933
CCC-2014B,Distinction vs Fail,192,355,2593.2,636.6,3.471866165194107e-58,0.832
CCC-2014B,Withdrawn vs Fail,663,355,410.5,636.6,5.2747867874561e-09,-0.222
CCC-2014B,Distinction vs Withdrawn,192,663,2593.2,410.5,1.9888444083831967e-84,0.922
CCC-2014J,Distinction vs Fail,306,398,2561.6,854.2,1.9964771491083336e-56,0.695
CCC-2014J,Withdrawn vs Fail,890,398,369.6,854.2,1.5738266430947572e-29,-0.393
CCC-2014J,Distinction vs Withdrawn,306,890,2561.6,369.6,2.292661716837612e-126,0.915
DDD-2013B,Distinction vs Fail,54,347,2247.5,815.5,1.1823424074907434e-16,0.701
DDD-2013B,Withdrawn vs Fail,357,347,479.2,815.5,8.060502505343878e-08,-0.234
DDD-2013B,Distinction vs Withdrawn,54,357,2247.5,479.2,1.752723095777656e-24,0.862
DDD-2013J,Distinction vs Fail,98,414,2349.5,596.1,1.3844421454437552e-35,0.808
DDD-2013J,Withdrawn vs Fail,525,414,353.1,596.1,8.909531311782975e-13,-0.271
DDD-2013J,Distinction vs Withdrawn,98,525,2349.5,353.1,3.6792557755184426e-47,0.917
DDD-2014B,Distinction vs Fail,119,249,1772.4,493.7,3.896489029968654e-36,0.809
DDD-2014B,Withdrawn vs Fail,388,249,383.5,493.7,0.006986895922519747,-0.127
DDD-2014B,Distinction vs Withdrawn,119,388,1772.4,383.5,1.1774500834725975e-45,0.859
DDD-2014J,Distinction vs Fail,112,358,1757.6,477.2,9.650743441505544e-31,0.721
DDD-2014J,Withdrawn vs Fail,497,358,293.5,477.2,3.342082360500647e-17,-0.338
DDD-2014J,Distinction vs Withdrawn,112,497,1757.6,293.5,6.809550248976142e-45,0.85
EEE-2013J,Distinction vs Fail,127,187,2988.4,663.7,2.280983276293518e-42,0.907
EEE-2013J,Withdrawn vs Fail,168,187,454.9,663.7,5.486203281896608e-06,-0.279
EEE-2013J,Distinction vs Withdrawn,127,168,2988.4,454.9,9.09347823092792e-44,0.944
EEE-2014B,Distinction vs Fail,72,155,2670.7,581.9,6.308538500811437e-29,0.921
EEE-2014B,Withdrawn vs Fail,112,155,380.8,581.9,0.00010000189629282752,-0.279
EEE-2014B,Distinction vs Withdrawn,72,112,2670.7,380.8,3.8773450476168124e-28,0.962
EEE-2014J,Distinction vs Fail,157,185,2860.9,663.3,1.533827433498441e-46,0.899
EEE-2014J,Withdrawn vs Fail,228,185,318.7,663.3,1.8444598934146344e-09,-0.344
EEE-2014J,Distinction vs Withdrawn,157,228,2860.9,318.7,2.191428563134007e-60,0.983
FFF-2013B,Distinction vs Fail,118,412,5563.7,1587.2,2.6623344245168414e-46,0.862
FFF-2013B,Withdrawn vs Fail,316,412,851.8,1587.2,1.5438167960592624e-12,-0.305
FFF-2013B,Distinction vs Withdrawn,118,316,5563.7,851.8,2.469003405209858e-54,0.968
FFF-2013J,Distinction vs Fail,187,506,5131.2,1100.3,1.2016162805520876e-74,0.904
FFF-2013J,Withdrawn vs Fail,497,506,774.2,1100.3,0.00010919503569499881,-0.141
FFF-2013J,Distinction vs Withdrawn,187,497,5131.2,774.2,2.8809951711101323e-83,0.958
FFF-2014B,Distinction vs Fail,107,372,4746.2,1045.8,1.8728248422305635e-46,0.907
FFF-2014B,Withdrawn vs Fail,337,372,746.4,1045.8,0.00020504898623620036,-0.161
FFF-2014B,Distinction vs Withdrawn,107,337,4746.2,746.4,1.0049540090017903e-49,0.951
FFF-2014J,Distinction vs Fail,258,386,5267.6,1208.5,6.348107673653906e-84,0.902
