course,avg_first_submission_day_fail,avg_first_submission_day_pass,p_value
AAA-2013J,22.7,19.0,0.0932806319098465
AAA-2014J,19.6,18.7,0.7372500780326906
BBB-2013B,20.4,17.7,1.5993589138989127e-13
BBB-2013J,18.1,17.2,9.264563490461515e-11
BBB-2014B,12.5,10.6,1.765471723755531e-05
BBB-2014J,15.6,14.4,0.014348930894071278
CCC-2014B,22.2,20.3,8.732006977584746e-07
CCC-2014J,22.3,21.2,0.003563163222538102
DDD-2013B,23.4,22.1,1.729877938907671e-16
DDD-2013J,23.2,22.8,6.626085498927334e-15
DDD-2014B,24.3,24.6,5.172629393053064e-06
DDD-2014J,17.9,17.3,0.0003494499037026574
EEE-2013J,34.1,32.0,1.9311809180651105e-11
EEE-2014B,34.4,31.2,1.469447432227381e-09
EEE-2014J,31.9,31.2,0.00011703623617365929
FFF-2013B,18.0,16.0,6.689511652523899e-08
FFF-2013J,17.5,15.8,3.2516380764915165e-13
FFF-2014B,21.6,19.8,5.367926735779657e-07
FFF-2014J,20.3,19.5,0.0003825865157148582
GGG-2013J,62.4,59.1,1.1333561166751696e-05
GGG-2014B,61.4,56.2,6.426657713437724e-06
GGG-2014J,66.2,57.7,5.011819859921338e-07
